,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
64,52692.67390599831,0.0010543240878986304,0.5238314708234268,-0.0001318723367776998,1.0993250974671576,0.18378378865257916,0.8008438590571096,-0.17933650752432892,0.49075774800722377,0.29265058236735997,0.0,0.0,0.0010780070154523262,6026.138972630162,3481.0628809602717,0,6959.321065926728
65,52692.06168154213,0.0010344558364327454,0.5462918049398572,-0.00013762285513194033,1.0993191739259616,0.17220569251440387,0.7992548365694506,-0.18197909111359462,0.4897839937744143,0.29696288685588185,0.0,0.0,0.0010780070154523262,5946.4741943163945,3615.543516435923,0,6959.361340159932
66,52691.44767518709,0.001015014644366444,0.5697654777976477,-0.00014351833586647737,1.0993132329878876,0.15961407099007194,0.7976425938043459,-0.1846163877720947,0.48879601013728513,0.30126656385751444,0.0,0.0,0.0010780070154523262,5860.008238949927,3754.1423640893972,0,6959.402377389293
67,52690.832178079734,0.0009960511214477503,0.5942868619367287,-0.00014955916679971543,1.0993072774687243,0.14597454899920329,0.7960071776013298,-0.18724832088001117,0.4877938257991399,0.3055614883400783,0.0,0.0,0.0010780070154523262,5766.233616501344,3896.718261194433,0,6959.444182346485
68,52690.21548204511,0.0009776179544429694,0.6198874764368075,-0.0001557456666774626,1.0993013101911187,0.13125560493587718,0.7943486354731808,-0.1898748139733502,0.48677746987584664,0.3098475355256757,0.0,0.0,0.0010780070154523262,5664.631319548948,4043.069127773497,0,6959.486759695
69,52689.59787944757,0.0009597698043864433,0.6465950230619324,-0.00016207808501820468,1.0992953339832348,0.1154295345243371,0.7926670156045411,-0.19249579074616333,0.4857469718949922,0.3141245808943161,0.0,0.0,0.0010780070154523262,5554.678150639435,4192.923806943036,0,6959.530114024999
70,52688.97966305146,0.0009425631462860861,0.6744322989668317,-0.00016855660199144822,1.099289351677403,0.0984735381129184,0.7909623668505165,-0.19511117505276454,0.48470236179502424,0.31839250018753357,0.0,0.0,0.0010780070154523262,5435.856060833309,4345.934033674698,0,6959.574249848209
71,52688.36112588167,0.000926056041467244,0.7034159944419748,-0.00017518132832920684,1.0992833661087769,0.0803709229292613,0.7892347387352577,-0.19772089090994258,0.48364366992438107,0.3226511694119963,0.0,0.0,0.0010780070154523262,5307.663678088943,4501.666946131926,0,6959.6191715927525
72,52687.74256108395,0.000910307832932371,0.7335553934653432,-0.00018195230527069065,1.0992773801139801,0.061112402528811435,0.7874841814505218,-0.2003248624991682,0.48257092704061055,0.32690046484310964,0.0,0.0,0.0010780070154523262,5169.6301225802445,4659.598661655213,0,6959.664883598066
73,52687.1242617854,0.0008953787553092273,0.7648510066892341,-0.0001888695045402107,1.0992713965297565,0.04069746380829469,0.7857107458542127,-0.20292301416879654,0.48148416430947694,0.3311402630286091,0.0,0.0,0.0010780070154523262,5021.331080494229,4819.109545725125,0,6959.711390110682
74,52686.50652095479,0.0008813294519265743,0.7972931776035502,-0.0001959328283583605,1.0992654181916188,0.019135760842701775,0.7839144834689049,-0.20551527043626538,0.4803834133040542,0.33537044079214845,0.0,0.0,0.0010780070154523262,4862.406948189769,4979.481877333426,0,6959.758695277887
